Home_team,Away_team,HomeTeamGoal,AwayTeamGoal,Result,hometeam_pts,hometeam_ppg,awayteam_pts,awayteam_ppg,Away_G_save%,Away_p_save%,Home_G_save%,Home_p_save%
Philadelphia,Minnesota Utd,1,1,Tie,67,1.97,48,1.41,71.3,20.0,82.5,20.0
Columbus Crew,Vancouver,4,0,Win,46,1.35,43,1.26,64.4,28.6,73.2,0.0
Los Angeles FC,Colorado Rapids,3,0,Win,67,1.97,43,1.26,70.3,9.1,70.7,0.0
Dallas,Toronto,1,1,Tie,53,1.56,34,1.0,65.8,25.0,75.9,28.6
Austin,Cincinnati,5,0,Win,56,1.65,49,1.44,69.6,30.0,72.7,28.6
DC United,Charlotte,3,0,Win,27,0.79,42,1.24,69.2,0.0,64.0,40.0
Inter Miami,Chicago Fire,0,0,Tie,48,1.41,39,1.15,67.7,0.0,66.7,0.0
SJ Earthquakes,New York RB,1,3,Loss,35,1.03,53,1.56,65.5,0.0,66.1,0.0
Portland,New England,2,2,Tie,46,1.35,42,1.24,74.1,33.3,69.9,50.0
Orlando City,CF Montreal,2,0,Win,48,1.41,65,1.91,64.2,0.0,66.4,0.0
Atlanta Utd,Sporting KC,3,1,Win,40,1.18,40,1.18,63.8,33.3,61.6,0.0
LA Galaxy,New York City,1,0,Win,50,1.47,55,1.62,66.4,0.0,68.1,14.3
Houston Dynamo,Real Salt Lake,0,0,Tie,36,1.06,47,1.38,73.5,33.3,69.3,14.3
Seattle,Nashville SC,0,1,Loss,41,1.21,50,1.47,76.7,22.2,74.8,14.3
New England,Dallas,1,0,Win,42,1.24,53,1.56,75.9,28.6,74.1,33.3
Toronto,New York RB,1,4,Loss,34,1.0,53,1.56,65.5,0.0,65.8,25.0
Sporting KC,Houston Dynamo,1,0,Win,40,1.18,36,1.06,69.3,14.3,63.8,33.3
CF Montreal,Philadelphia,1,2,Loss,65,1.91,67,1.97,82.5,20.0,64.2,0.0
SJ Earthquakes,Columbus Crew,3,3,Tie,35,1.03,46,1.35,73.2,0.0,66.1,0.0
Chicago Fire,Orlando City,0,0,Tie,39,1.15,48,1.41,66.4,0.0,67.7,0.0
