Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
Sa 26 Feb,Philadelphia,1 - 1,Minnesota Utd,stats,(1-1),-,2,+
Su 27 Feb,Columbus Crew,4 - 0,Vancouver,stats,(2-0),+,4,-
Su 27 Feb,Los Angeles FC,3 - 0,Colorado Rapids,stats,(2-0),+,3,-
Su 27 Feb,Dallas,1 - 1,Toronto,stats,(1-1),-,2,+
Su 27 Feb,Austin,5 - 0,Cincinnati,stats,(3-0),+,5,-
Su 27 Feb,DC United,3 - 0,Charlotte,stats,(2-0),+,3,-
Su 27 Feb,Inter Miami,0 - 0,Chicago Fire,stats,(0-0),-,0,-
Su 27 Feb,SJ Earthquakes,1 - 3,New York RB,stats,(0-1),+,4,+
Su 27 Feb,Portland,2 - 2,New England,stats,(0-1),+,4,+
Su 27 Feb,Orlando City,2 - 0,CF Montreal,stats,(0-0),-,2,-
Mo 28 Feb,Atlanta Utd,3 - 1,Sporting KC,stats,(2-0),+,4,+
Mo 28 Feb,LA Galaxy,1 - 0,New York City,stats,(0-0),-,1,-
Mo 28 Feb,Houston Dynamo,0 - 0,Real Salt Lake,stats,(0-0),-,0,-
Mo 28 Feb,Seattle,0 - 1,Nashville SC,stats,(0-0),-,1,-
Su 6 Mar,New England,1 - 0,Dallas,stats,(1-0),-,1,-
Su 6 Mar,Toronto,1 - 4,New York RB,stats,(1-4),+,5,+
Su 6 Mar,Sporting KC,1 - 0,Houston Dynamo,stats,(0-0),-,1,-
Su 6 Mar,CF Montreal,1 - 2,Philadelphia,stats,(1-0),+,3,+
Su 6 Mar,SJ Earthquakes,3 - 3,Columbus Crew,stats,(1-1),+,6,+
Su 6 Mar,Chicago Fire,0 - 0,Orlando City,stats,(0-0),-,0,-
Su 6 Mar,Cincinnati,0 - 1,DC United,stats,(0-0),-,1,-
Su 6 Mar,Colorado Rapids,3 - 0,Atlanta Utd,stats,(1-0),+,3,-
Su 6 Mar,Minnesota Utd,1 - 1,Nashville SC,stats,(0-1),-,2,+
Su 6 Mar,Real Salt Lake,1 - 0,Seattle,stats,(0-0),-,1,-
Su 6 Mar,Vancouver,0 - 0,New York City,stats,(0-0),-,0,-
Su 6 Mar,Charlotte,0 - 1,LA Galaxy,stats,(0-0),-,1,-
Mo 7 Mar,Austin,5 - 1,Inter Miami,stats,(2-0),+,6,+
Mo 7 Mar,Los Angeles FC,1 - 1,Portland,stats,(0-1),-,2,+
Sa 12 Mar,New York City,4 - 1,CF Montreal,stats,(2-0),+,5,+
Su 13 Mar,Columbus Crew,2 - 1,Toronto,stats,(0-1),+,3,+
Su 13 Mar,Inter Miami,0 - 2,Los Angeles FC,stats,(0-1),-,2,-
Su 13 Mar,Seattle,3 - 2,LA Galaxy,stats,(2-1),+,5,+
Su 13 Mar,Houston Dynamo,2 - 1,Vancouver,stats,(1-1),+,3,+
Su 13 Mar,DC United,0 - 2,Chicago Fire,stats,(0-1),-,2,-
Su 13 Mar,New England,2 - 3,Real Salt Lake,stats,(1-0),+,5,+
Su 13 Mar,Orlando City,1 - 2,Cincinnati,stats,(1-1),+,3,+
Su 13 Mar,Philadelphia,2 - 0,SJ Earthquakes,stats,(1-0),-,2,-
Su 13 Mar,Dallas,2 - 0,Nashville SC,stats,(0-0),-,2,-
Su 13 Mar,Colorado Rapids,2 - 0,Sporting KC,stats,(1-0),-,2,-
Su 13 Mar,Portland,1 - 0,Austin,stats,(0-0),-,1,-
Mo 14 Mar,Atlanta Utd,2 - 1,Charlotte,stats,(0-0),+,3,+
Mo 14 Mar,New York RB,0 - 1,Minnesota Utd,stats,(0-0),-,1,-
Sa 19 Mar,Cincinnati,3 - 1,Inter Miami,stats,(2-1),+,4,+
Sa 19 Mar,New York City,0 - 2,Philadelphia,stats,(0-2),-,2,-
Su 20 Mar,Toronto,2 - 1,DC United,stats,(1-1),+,3,+
Su 20 Mar,LA Galaxy,0 - 1,Orlando City,stats,(0-1),-,1,-
Su 20 Mar,Atlanta Utd,3 - 3,CF Montreal,stats,(1-3),+,6,+
Su 20 Mar,Chicago Fire,3 - 1,Sporting KC,stats,(1-0),+,4,+
Su 20 Mar,Charlotte,3 - 1,New England,stats,(1-0),+,4,+
Su 20 Mar,Minnesota Utd,1 - 0,SJ Earthquakes,stats,(1-0),-,1,-
Su 20 Mar,Dallas,4 - 1,Portland,stats,(3-0),+,5,+
Su 20 Mar,Houston Dynamo,1 - 1,Colorado Rapids,stats,(0-1),-,2,+
Su 20 Mar,Real Salt Lake,2 - 1,Nashville SC,stats,(1-1),+,3,+
Su 20 Mar,New York RB,1 - 1,Columbus Crew,stats,(0-0),-,2,+
Mo 21 Mar,Austin,1 - 1,Seattle,stats,(0-1),-,2,+
Mo 21 Mar,Los Angeles FC,3 - 1,Vancouver,stats,(2-1),+,4,+
Su 27 Mar,Charlotte,2 - 0,Cincinnati,stats,(1-0),-,2,-
Su 27 Mar,Sporting KC,1 - 0,Real Salt Lake,stats,(0-0),-,1,-
Mo 28 Mar,Portland,1 - 1,Orlando City,stats,(0-0),-,2,+
Su 3 Apr,Chicago Fire,0 - 0,Dallas,stats,(0-0),-,0,-
Su 3 Apr,Cincinnati,3 - 4,CF Montreal,stats,(2-3),+,7,+
Su 3 Apr,Toronto,2 - 1,New York City,stats,(2-0),+,3,+
Su 3 Apr,Columbus Crew,0 - 1,Nashville SC,stats,(0-1),-,1,-
Su 3 Apr,DC United,0 - 1,Atlanta Utd,stats,(0-0),-,1,-
Su 3 Apr,New England,0 - 1,New York RB,stats,(0-0),-,1,-
Su 3 Apr,Orlando City,2 - 4,Los Angeles FC,stats,(2-2),+,6,+
Su 3 Apr,Philadelphia,2 - 0,Charlotte,stats,(1-0),-,2,-
Su 3 Apr,SJ Earthquakes,2 - 2,Austin,stats,(0-1),+,4,+
Su 3 Apr,Minnesota Utd,1 - 2,Seattle,stats,(0-1),+,3,+
Su 3 Apr,Vancouver,1 - 0,Sporting KC,stats,(0-0),-,1,-
Su 3 Apr,Colorado Rapids,1 - 1,Real Salt Lake,stats,(0-1),-,2,+
Su 3 Apr,Inter Miami,1 - 3,Houston Dynamo,stats,(0-0),+,4,+
Mo 4 Apr,Portland,1 - 3,LA Galaxy,stats,(0-2),+,4,+
Sa 9 Apr,Orlando City,1 - 0,Chicago Fire,stats,(0-0),-,1,-
Su 10 Apr,Inter Miami,3 - 2,New England,stats,(2-1),+,5,+
Su 10 Apr,New York RB,1 - 2,CF Montreal,stats,(1-0),+,3,+
Su 10 Apr,Philadelphia,1 - 0,Columbus Crew,stats,(1-0),-,1,-
Su 10 Apr,LA Galaxy,2 - 1,Los Angeles FC,stats,(2-0),+,3,+
Su 10 Apr,Real Salt Lake,2 - 2,Toronto,stats,(2-1),+,4,+
Su 10 Apr,Dallas,3 - 1,Colorado Rapids,stats,(1-1),+,4,+
Su 10 Apr,Houston Dynamo,4 - 3,SJ Earthquakes,stats,(2-2),+,7,+
Su 10 Apr,Sporting KC,1 - 2,Nashville SC,stats,(1-0),+,3,+
Su 10 Apr,Vancouver,2 - 3,Portland,stats,(0-1),+,5,+
Su 10 Apr,Charlotte,1 - 0,Atlanta Utd,stats,(1-0),-,1,-
Mo 11 Apr,Austin,1 - 0,Minnesota Utd,stats,(0-0),-,1,-
Su 17 Apr,CF Montreal,2 - 1,Vancouver,stats,(1-0),+,3,+
Su 17 Apr,SJ Earthquakes,2 - 2,Nashville SC,stats,(0-1),+,4,+
Su 17 Apr,Atlanta Utd,0 - 0,Cincinnati,stats,(0-0),-,0,-
Su 17 Apr,Houston Dynamo,0 - 0,Portland,stats,(0-0),-,0,-
Su 17 Apr,New York RB,0 - 0,Dallas,stats,(0-0),-,0,-
Su 17 Apr,Columbus Crew,0 - 2,Orlando City,stats,(0-1),-,2,-
Su 17 Apr,New England,2 - 1,Charlotte,stats,(1-0),+,3,+
Su 17 Apr,Toronto,2 - 1,Philadelphia,stats,(1-1),+,3,+
Su 17 Apr,Chicago Fire,0 - 0,LA Galaxy,stats,(0-0),-,0,-
Su 17 Apr,DC United,2 - 3,Austin,stats,(2-0),+,5,+
Su 17 Apr,Minnesota Utd,3 - 1,Colorado Rapids,stats,(1-1),+,4,+
Su 17 Apr,Seattle,0 - 1,Inter Miami,stats,(0-1),-,1,-
Su 17 Apr,New York City,6 - 0,Real Salt Lake,stats,(3-0),+,6,-
Mo 18 Apr,Los Angeles FC,3 - 1,Sporting KC,stats,(1-1),+,4,+
Su 24 Apr,Dallas,2 - 1,Houston Dynamo,stats,(0-1),+,3,+
Su 24 Apr,Philadelphia,1 - 1,CF Montreal,stats,(1-0),-,2,+
Su 24 Apr,Minnesota Utd,3 - 0,Chicago Fire,stats,(0-0),+,3,-
Su 24 Apr,DC United,3 - 2,New England,stats,(3-1),+,5,+
Su 24 Apr,Austin,3 - 0,Vancouver,stats,(2-0),+,3,-
Su 24 Apr,Sporting KC,0 - 0,Columbus Crew,stats,(0-0),-,0,-
Su 24 Apr,Colorado Rapids,0 - 0,Charlotte,stats,(0-0),-,0,-
Su 24 Apr,Portland,0 - 0,Real Salt Lake,stats,(0-0),-,0,-
