,GP,W,D,L,GF,GA,GD,Pts,     Form,PPG,last 8,CS,FTS
 Philadelphia,34,19,10,5,72,26,46,67,,1.97,2.38,44%,18%
 Los Angeles FC,34,21,4,9,66,38,28,67,,1.97,1.25,26%,9%
 CF Montreal,34,20,5,9,63,50,13,65,,1.91,2.38,21%,15%
 Austin,34,16,8,10,65,49,16,56,,1.65,1,24%,15%
 New York City,34,16,7,11,57,41,16,55,,1.62,1.25,41%,21%
 Dallas,34,14,11,9,48,37,11,53,,1.56,1.75,24%,24%
 New York RB,34,15,8,11,50,41,9,53,,1.56,1.63,24%,29%
 Nashville SC,34,13,11,10,52,41,11,50,,1.47,2.13,26%,12%
 LA Galaxy,34,14,8,12,58,51,7,50,,1.47,1.63,21%,21%
 Cincinnati,34,12,13,9,64,56,8,49,,1.44,1.88,18%,15%
 Minnesota Utd,34,14,6,14,48,51,-3,48,,1.41,0.88,15%,24%
 Inter Miami,34,14,6,14,47,56,-9,48,,1.41,1.5,18%,26%
 Orlando City,34,14,6,14,44,53,-9,48,,1.41,1.5,26%,18%
 Real Salt Lake,34,12,11,11,43,45,-2,47,,1.38,1.13,29%,29%
 Columbus Crew,34,10,16,8,46,41,5,46,,1.35,1.25,26%,29%
 Portland,34,11,13,10,53,53,0,46,,1.35,1.63,18%,12%
 Colorado Rapids,34,11,10,13,46,57,-11,43,,1.26,1.38,26%,18%
 Vancouver,34,12,7,15,40,57,-17,43,,1.26,1.25,26%,24%
 New England,34,10,12,12,47,50,-3,42,,1.24,1,26%,21%
 Charlotte,34,13,3,18,44,52,-8,42,,1.24,1.25,24%,32%
 Seattle,34,12,5,17,47,46,1,41,,1.21,1,18%,26%
 Atlanta Utd,34,10,10,14,48,54,-6,40,,1.18,1.25,18%,21%
 Sporting KC,34,11,7,16,42,54,-12,40,,1.18,2.13,24%,32%
 Chicago Fire,34,10,9,15,39,48,-9,39,,1.15,1.13,35%,38%
 Houston Dynamo,34,10,6,18,43,56,-13,36,,1.06,1.25,18%,24%
 SJ Earthquakes,34,8,11,15,52,69,-17,35,,1.03,1,12%,24%
 Toronto,34,9,7,18,49,66,-17,34,,1,0.5,9%,32%
 DC United,34,7,6,21,36,71,-35,27,,0.79,0.63,18%,47%
